  Top	000	079	090	110	129	180	181	182	199	209	210	220	239	340	379	380	400	420	440	470	480	490	500	510	530	540	559	569	570	620	630	649	659	670	680	690	700	723	724	739	740	750	751	752	753	754	760	770	809
 Mor	069	089	109	119	179	180	181	189	199	209	218	221	339	349	379	399	419	424	449	479	488	499	509	529	539	549	559	569	619	629	639	649	669	679	689	699	722	723	729	739	749	750	751	752	753	759	768	779	809
8000	12200	12200	12200	12200	12200	12200	12200	12200	12200	12200	12200	07300	12200	12200	12200	12200	08500	12200	12200	12200	12200	12200	12200	12200	12200	12200	12200	10500	12200	10500	12200	06300	12200	12200	12200	12200	03600	03600	03600	12200	12200	12200	03600	03600	03600	12200	12200	12200	12200
8001	12200	12200	12200	12200	12200	12200	12200	12200	12200	12200	12200	07300	12200	12200	12200	12200	08500	12200	12200	12200	12200	12200	12200	12200	12200	12200	12200	10500	12200	10500	12200	06300	12200	12200	12200	12200	03600	03600	03600	12200	12200	12200	03600	03600	03600	12200	12200	12200	12200
8002	12200	12200	12200	12200	12200	12200	12200	12200	12200	12200	12200	07300	12200	12200	12200	12200	08500	12200	12200	12200	12200	12200	12200	12200	12200	12200	12200	10500	12200	10500	12200	06300	12200	12200	12200	12200	03600	03600	03600	12200	12200	12200	03600	03600	03600	12200	12200	12200	12200
8003	12200	12200	12200	12200	12200	12200	12200	12200	12200	12200	12200	07300	12200	12200	12200	12200	08500	12200	12200	12200	12200	12200	12200	12200	12200	12200	12200	10500	12200	10500	12200	06300	12200	12200	12200	12200	03600	03600	03600	12200	12200	12200	03600	03600	03600	12200	12200	12200	12200
8004	12200	12200	12200	12200	12200	12200	12200	12200	12200	12200	12200	07300	12200	12200	12200	12200	08500	12200	12200	12200	12200	12200	12200	12200	12200	12200	12200	10500	12200	10500	12200	06300	12200	12200	12200	12200	03600	03600	03600	12200	12200	12200	03600	03600	03600	12200	12200	12200	12200
8005	12200	12200	12200	12200	12200	12200	12200	12200	12200	12200	12200	07300	12200	12200	12200	12200	08500	12200	12200	12200	12200	12200	12200	12200	12200	12200	12200	10500	12200	10500	12200	06300	12200	12200	12200	12200	03600	03600	03600	12200	12200	12200	03600	03600	03600	12200	12200	12200	12200
8010	11610	11601	11610	11300	11610	11602	11603	11602	11602	11602	11602	07200	11610	11604	11605	11610			11500		11610		11606	11610	11607	11610	11610	10400	11610	10400	11610	06200	11610	11608	11610	11609	11610	11610	11610	11200		11610	11610	11610	11610	11610	11611		11611
8011	11610	11601	11610	11300	11610	11602	11603	11602	11602	11602	11602	07200	11610	11604	11605	11610			11500		11610		11606	11610	11607	11610	11610	10400	11610	10400	11610	06200	11610	11608	11610	11609	11610	11610	11610	11200		11610	11610	11610	11610	11610	11611		11611
8012	11610	11601	11610	11300	11610	11602	11603	11602	11602	11602	11602	07200	11610	11604	11605	11610			11500		11610		11606	11610	11607	11610	11610	10400	11610	10400	11610	06200	11610	11608	11610	11609	11610	11610	11610	11200		11610	11610	11610	11610	11610	11611		11611
8013	11610	11601	11610	11300	11610	11602	11603	11602	11602	11602	11602	07200	11610	11604	11605	11610			11500		11610		11606	11610	11607	11610	11610	10400	11610	10400	11610	06200	11610	11608	11610	11609	11610	11610	11610	11200		11610	11610	11610	11610	11610	11611		11611
8014	11610	11601	11610	11300	11610	11602	11603	11602	11602	11602	11602	07200	11610	11604	11605	11610			11500		11610		11606	11610	11607	11610	11610	10400	11610	10400	11610	06200	11610	11608	11610	11609	11610	11610	11610	11200		11610	11610	11610	11610	11610	11611		11611
8015	11610	11601	11610	11300	11610	11602	11603	11602	11602	11602	11602	07200	11610	11604	11605	11610			11500		11610		11606	11610	11607	11610	11610	10400	11610	10400	11610	06200	11610	11608	11610	11609	11610	11610	11610	11200		11610	11610	11610	11610	11610	11611		11611
8020	11610	11601	11610	11300	11610	11602	11603	11602	11602	11602	11602	07200	11610	11604	11605	11610			11500		11610		11606	11610	11607	11610	11610	10400	11610	10400	11610	06200	11610	11608	11610	11609	11610	11610	11610	11200		11610	11610	11610	11610	11610	11611		11611
8021	11610	11601	11610	11300	11610	11602	11603	11602	11602	11602	11602	07200	11610	11604	11605	11610			11500		11610		11606	11610	11607	11610	11610	10400	11610	10400	11610	06200	11610	11608	11610	11609	11610	11610	11610	11200		11610	11610	11610	11610	11610	11611		11611
8022	11610	11601	11610	11300	11610	11602	11603	11602	11602	11602	11602	07200	11610	11604	11605	11610			11500		11610		11606	11610	11607	11610	11610	10400	11610	10400	11610	06200	11610	11608	11610	11609	11610	11610	11610	11200		11610	11610	11610	11610	11610	11611		11611
8030	11610	11601	11610	11300	11610	11602	11603	11602	11602	11602	11602	07200	11610	11604	11605	11610			11500		11610		11606	11610	11607	11610	11610	10400	11610	10400	11610	06200	11610	11608	11610	11609	11610	11610	11610	11200		11610	11610	11610	11610	11610	11611		11611
8031	11610	11601	11610	11300	11610	11602	11603	11602	11602	11602	11602	07200	11610	11604	11605	11610			11500		11610		11606	11610	11607	11610	11610	10400	11610	10400	11610	06200	11610	11608	11610	11609	11610	11610	11610	11200		11610	11610	11610	11610	11610	11611		11611
